departure,arrival,airplane_number,,,,letter,航线,,,,航班,航线,机场
BFJ,XMN,MF8604,,BFJXMN,,KY9668,TAOCAN,,,,KY9668,TAOCAN,青岛流亭国际机场-广州白云国际机场
BHY,CAN,CZ3354,,BHYCAN,,MF1604,TAOCAN,,,,MF1604,TAOCAN,青岛流亭国际机场-广州白云国际机场
BHY,CGO,CZ8362,,BHYCGO,,MF1534,TAOCAN,,,,MF1534,TAOCAN,青岛流亭国际机场-广州白云国际机场
BHY,CGQ,CZ3987,,BHYCGQ,,MF1402,TAOCAN,,,,MF1402,TAOCAN,青岛流亭国际机场-广州白云国际机场
BHY,CKG,EU2717,,BHYCKG,,CA4711,TAOCAN,,,,CA4711,TAOCAN,青岛流亭国际机场-广州白云国际机场
BHY,CSX,CZ3147,,BHYCSX,,CA4675,TAOCAN,,,,CA4675,TAOCAN,青岛流亭国际机场-广州白云国际机场
BHY,CSX,MU2754,,BHYCSX,,ZH3017,TAOCAN,,,,ZH3017,TAOCAN,青岛流亭国际机场-广州白云国际机场
BHY,CTU,3U8052,,BHYCTU,,MU3425,TAOCAN,,,,MU3425,TAOCAN,青岛流亭国际机场-广州白云国际机场
BHY,CTU,EU2716,,BHYCTU,,MU3377,TAOCAN,,,,MU3377,TAOCAN,青岛流亭国际机场-广州白云国际机场
BHY,FOC,DR5327,,BHYFOC,,MU3299,TAOCAN,,,,MU3299,TAOCAN,青岛流亭国际机场-广州白云国际机场
BHY,HNY,GS7904,,BHYHNY,,MU3275,TAOCAN,,,,MU3275,TAOCAN,青岛流亭国际机场-广州白云国际机场
BHY,HRB,3U8596,,BHYHRB,,ZH9124,TAOCAN,,,,ZH9124,TAOCAN,青岛流亭国际机场-广州白云国际机场
BHY,KHN,3U8354,,BHYKHN,,CZ3574,TAOCAN,,,,CZ3574,TAOCAN,青岛流亭国际机场-广州白云国际机场
BHY,KHN,BK2834,,BHYKHN,,CZ3534,TAOCAN,,,,CZ3534,TAOCAN,青岛流亭国际机场-广州白云国际机场
BHY,KHN,GT1048,,BHYKHN,,SC9694,TAOCAN,,,,SC9694,TAOCAN,青岛流亭国际机场-广州白云国际机场
BHY,KMG,DR5328,,BHYKMG,,ZH9668,TAOCAN,,,,ZH9668,TAOCAN,青岛流亭国际机场-广州白云国际机场
BHY,NKG,HO1684,,BHYNKG,,ZH9694,TAOCAN,,,,ZH9694,TAOCAN,青岛流亭国际机场-广州白云国际机场
BHY,NKG,MU2754,,BHYNKG,,CZ3716,TAOCAN,,,,CZ3716,TAOCAN,青岛流亭国际机场-广州白云国际机场
BHY,PEK,CA1882,,BHYPEK,,CZ3800,TAOCAN,,,,CZ3800,TAOCAN,青岛流亭国际机场-广州白云国际机场
BHY,PEK,CZ3147,,BHYPEK,,GS7633,XIYAQG,,,,GS7633,XIYAQG,西安咸阳国际机场-安庆天柱山机场
BHY,PVG,9C8968,,BHYPVG,,ZH1824,YIHPEK,,,,ZH1824,YIHPEK,宜昌三峡机场-北京首都国际机场
BHY,PVG,HO1176,,BHYPVG,,JD5396,YIHPEK,,,,JD5396,YIHPEK,宜昌三峡机场-北京首都国际机场
BHY,PVG,MU5266,,BHYPVG,,SC1824,YIHPEK,,,,SC1824,YIHPEK,宜昌三峡机场-北京首都国际机场
BHY,SHE,CZ3909,,BHYSHE,,CA1824,YIHPEK,,,,CA1824,YIHPEK,宜昌三峡机场-北京首都国际机场
BHY,SJW,9C8642,,BHYSJW,,HU7110,YIHPEK,,,,HU7110,YIHPEK,宜昌三峡机场-北京首都国际机场
BHY,SJW,NS3256,,BHYSJW,,KY8255,KMGLNJ,,,,KY8255,KMGLNJ,昆明长水国际机场-临沧机场
BHY,SZX,HO1260,,BHYSZX,,MU5967,KMGLNJ,,,,MU5967,KMGLNJ,昆明长水国际机场-临沧机场
BHY,TNA,SC8010,,BHYTNA,,MU5963,KMGLNJ,,,,MU5963,KMGLNJ,昆明长水国际机场-临沧机场
BHY,TSN,3U8354,,BHYTSN,,MU5959,KMGLNJ,,,,MU5959,KMGLNJ,昆明长水国际机场-临沧机场
BHY,TSN,BK2834,,BHYTSN,,MU5957,KMGLNJ,,,,MU5957,KMGLNJ,昆明长水国际机场-临沧机场
BHY,WNZ,SC8010,,BHYWNZ,,CZ9809,KMGLNJ,,,,CZ9809,KMGLNJ,昆明长水国际机场-临沧机场
BHY,WUH,CZ3909,,BHYWUH,,CZ9614,KMGLNJ,,,,CZ9614,KMGLNJ,昆明长水国际机场-临沧机场
BHY,WUH,CZ3987,,BHYWUH,,CZ9612,KMGLNJ,,,,CZ9612,KMGLNJ,昆明长水国际机场-临沧机场
BHY,XIY,3U8596,,BHYXIY,,CZ9618,KMGLNJ,,,,CZ9618,KMGLNJ,昆明长水国际机场-临沧机场
BHY,XIY,NS3256,,BHYXIY,,CZ3774,DLCNNG,,,,CZ3774,DLCNNG,大连周水子国际机场-南宁吴圩国际机场
BHY,XNN,3U8172,,BHYXNN,,ZH9542,DLCNNG,,,,ZH9542,DLCNNG,大连周水子国际机场-南宁吴圩国际机场
BHY,XUZ,GT1048,,BHYXUZ,,ZH9530,DLCNNG,,,,ZH9530,DLCNNG,大连周水子国际机场-南宁吴圩国际机场
BPE,CAN,HU7268,,BPECAN,,GX8814,DLCNNG,,,,GX8814,DLCNNG,大连周水子国际机场-南宁吴圩国际机场
BPE,CGO,CZ3618,,BPECGO,,MF1584,DLCNNG,,,,MF1584,DLCNNG,大连周水子国际机场-南宁吴圩国际机场
BPE,CTU,DR6542,,BPECTU,,G55046,DLCNNG,,,,G55046,DLCNNG,大连周水子国际机场-南宁吴圩国际机场
BPE,DAT,GJ8013,,BPEDAT,,HU1644,DLCNNG,,,,HU1644,DLCNNG,大连周水子国际机场-南宁吴圩国际机场
BPE,HRB,DR6541,,BPEHRB,,CA3559,DLCNNG,,,,CA3559,DLCNNG,大连周水子国际机场-南宁吴圩国际机场
BPE,NGB,MU9610,,BPENGB,,CA3798,DLCNNG,,,,CA3798,DLCNNG,大连周水子国际机场-南宁吴圩国际机场
BPE,NKG,HU7268,,BPENKG,,KY9530,DLCNNG,,,,KY9530,DLCNNG,大连周水子国际机场-南宁吴圩国际机场
BPE,PVG,FM9142,,BPEPVG,,KY9542,DLCNNG,,,,KY9542,DLCNNG,大连周水子国际机场-南宁吴圩国际机场
BPE,SJW,NS3292,,BPESJW,,MF8145,JJNTSN,,,,MF8145,JJNTSN,泉州晋江机场-天津滨海国际机场
BPL,URC,CZ6634,,BPLURC,,NS8145,JJNTSN,,,,NS8145,JJNTSN,泉州晋江机场-天津滨海国际机场
BPL,URC,GS7506,,BPLURC,,CZ5087,JJNTSN,,,,CZ5087,JJNTSN,泉州晋江机场-天津滨海国际机场
BPL,URC,GS7508,,BPLURC,,JR2319,XIYJGS,,,,JR2319,XIYJGS,西安咸阳国际机场-井冈山机场
BPL,WUH,CZ6634,,BPLWUH,,MU2319,XIYJGS,,,,MU2319,XIYJGS,西安咸阳国际机场-井冈山机场
BPX,CKG,TV9907,,BPXCKG,,GJ8850,TYNYNZ,,,,GJ8850,TYNYNZ,太原武宿国际机场-盐城南洋国际机场
BPX,CTU,CA4408,,BPXCTU,,CZ8129,PEKDIG,,,,CZ8129,PEKDIG,北京首都国际机场-迪庆香格里拉机场
BPX,CTU,CA4410,,BPXCTU,,G55181,PEKDIG,,,,G55181,PEKDIG,北京首都国际机场-迪庆香格里拉机场
BPX,CTU,TV9894,,BPXCTU,,EU2258,CGQCTU,,,,EU2258,CGQCTU,长春龙嘉国际机场-成都双流国际机场
BPX,LXA,TV9850,,BPXLXA,,EU2720,CGQCTU,,,,EU2720,CGQCTU,长春龙嘉国际机场-成都双流国际机场
BSD,CAN,MU5741,,BSDCAN,,CZ8449,CGQCTU,,,,CZ8449,CGQCTU,长春龙嘉国际机场-成都双流国际机场
BSD,CKG,KY8221,,BSDCKG,,CA4190,CGQCTU,,,,CA4190,CGQCTU,长春龙嘉国际机场-成都双流国际机场
BSD,CTU,MU9749,,BSDCTU,,ZH4190,CGQCTU,,,,ZH4190,CGQCTU,长春龙嘉国际机场-成都双流国际机场
BSD,KMG,8L9924,,BSDKMG,,CZ6441,CGQCTU,,,,CZ6441,CGQCTU,长春龙嘉国际机场-成都双流国际机场
BSD,KMG,KY8222,,BSDKMG,,MF4061,CGQCTU,,,,MF4061,CGQCTU,长春龙嘉国际机场-成都双流国际机场
BSD,KMG,KY8252,,BSDKMG,,3U8858,CGQCTU,,,,3U8858,CGQCTU,长春龙嘉国际机场-成都双流国际机场
BSD,KMG,MU2208,,BSDKMG,,SC4190,CGQCTU,,,,SC4190,CGQCTU,长春龙嘉国际机场-成都双流国际机场
BSD,KMG,MU5741,,BSDKMG,,8L9551,DLUMIG,,,,8L9551,DLUMIG,大理荒草坝机场-绵阳南郊机场
BSD,KMG,MU5982,,BSDKMG,,MF8388,KWLFOC,,,,MF8388,KWLFOC,桂林两江国际机场-福州长乐国际机场
BSD,KMG,MU5988,,BSDKMG,,CZ5292,KWLFOC,,,,CZ5292,KWLFOC,桂林两江国际机场-福州长乐国际机场
BSD,KMG,MU5990,,BSDKMG,,NS8388,KWLFOC,,,,NS8388,KWLFOC,桂林两江国际机场-福州长乐国际机场
